Const,Title,tag_social_context_Mainstream_Blockbuster,tag_social_context_Award_Season_Contender,tag_social_context_Legacy_Franchise,tag_social_context_Family_Mainstay,tag_social_context_Regional_Cinema,tag_social_context_Direct_to_Streaming,tag_social_context_Indie_Darling,tag_social_context_Date_Night_Pick,tag_social_context_Niche_Cult_Audience,tag_social_context_Cult_Classic,tag_social_context_Documentary_Edu_tainment,tag_social_context_Ensemble_Group_Watch,tag_social_context_Teen_YA_Audience,tag_social_context_Holiday_Seasonal,tag_social_context_Documentary_Reality,tag_social_context_Film_Festival_Niche,tag_social_context_Girls'_Night_Pick,tag_social_context_B_Movie_Grindhouse,tag_social_context_New_Wave_Avant_Garde,tag_pacing_Standard_Narrative,tag_pacing_Fast_Paced_Punchy,tag_pacing_Slow_Burn_Atmospheric,tag_pacing_Light_Breezy,tag_pacing_Breakneck_Relentless,tag_pacing_Steady_Procedural,tag_pacing_Rising_Crescendo,tag_pacing_Episodic_Non_Linear,tag_pacing_Tight_Economical,tag_pacing_Staccato_Erratic,tag_pacing_Meditative_Languid,tag_pacing_Hyper_Active_Frenetic,tag_pacing_Fragmented_Chaotic,tag_pacing_Graceful_Flowing,tag_pacing_Meandering_Picaresque,tag_cognitive_load_Light_Popcorn,tag_cognitive_load_Moderate_Intellectual,tag_cognitive_load_High_Demanding,tag_cognitive_load_Intuitive_Emotional,tag_cognitive_load_Socially_Challenging,tag_cognitive_load_Stress_Inducing_Tense,tag_cognitive_load_Dense_Philosophical,tag_cognitive_load_Puzzle_Box_Mystery,tag_cognitive_load_Educational_Informative,tag_cognitive_load_Complex_Mind_Bender,tag_cognitive_load_Cryptic_Abstract,tag_cognitive_load_Meta_Self_Referential,tag_cognitive_load_Symphonic_Visual,tag_social_value_High_Prestige,tag_social_value_Universal_Classic,tag_social_value_Mainstream_Popular,tag_social_value_Nostalgia_Trip,tag_social_value_Guilty_Pleasure,tag_social_value_Water_Cooler_Event,tag_social_value_Iconic_Legendary,tag_social_value_Niche_Interest,tag_social_value_Feel_Good_Hit,tag_social_value_Hidden_Gem,tag_social_value_Cult_Favourite,tag_social_value_Safe_Crowd_Pleaser,tag_social_value_Divisive_Controversial,tag_social_value_Culturally_Specific,tag_social_value_Political_Activist,tag_social_value_Legacy_Franchise,tag_social_value_Trend_Setter,tag_social_value_Ephemeral_Dated,tag_vibes_Warm_Nostalgic,tag_vibes_Vibrant_Whimsical,tag_vibes_Grandiose_Epic,tag_vibes_Gritty_Raw,tag_vibes_Gritty_Neon,tag_vibes_Naturalistic_Earth_Toned,tag_vibes_Uplifting_Inspirational,tag_vibes_Dark_Gothic,tag_vibes_Cerebral_Minimalist,tag_vibes_Bleak_Desaturated,tag_vibes_Chaotic_Absurdist,tag_vibes_Intimate_Raw,tag_vibes_Surreal_Dreamlike,tag_vibes_Indie_Quirky,tag_vibes_Sleek_Stylish,tag_vibes_Nostalgic_Retro,tag_vibes_Pastel_Soft,tag_vibes_Psychedelic_Acid_Trip,tag_vibes_Abrasive_Industrial,tag_vibes_Technicolor_Vintage,tag_vibes_Symphonic_Visual,tag_narrative_resolve_Feel_Good_Triumphant,tag_narrative_resolve_Ambiguous_Open_Ended,tag_narrative_resolve_Hopeful_Redemptive,tag_narrative_resolve_Bittersweet_Poignant,tag_narrative_resolve_Cynical_Grim,tag_narrative_resolve_Tragic_Devastating,tag_narrative_resolve_Justice_Oriented,tag_narrative_resolve_Clean_Resolution,tag_narrative_resolve_Ongoing_No_Resolution,tag_narrative_resolve_Cathartic_Release,tag_narrative_resolve_Absurdist_Satirical,tag_narrative_resolve_Cliffhanger,tag_tension_profile_Escalating_Tension,tag_tension_profile_Low_Stakes_Gentle,tag_tension_profile_Simmering_Understated,tag_tension_profile_Sustained_Tension,tag_tension_profile_Psychological_Creeping,tag_tension_profile_No_Real_Tension,tag_tension_profile_Explosive_Visceral,tag_tension_profile_Intermittent_Burst,tag_tension_profile_High_Stakes_Urgent,tag_tension_profile_Comic_Tension,tag_tension_profile_Campy_Performative,tag_tension_profile_Constant_Anxiety_Inducing,tag_tension_profile_Intellectual_Competitive
tt27847051,The Secret Agent,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tt2935510,Ad Astra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt30343021,Song Sung Blue,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt14205554,KPop Demon Hunters,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
tt21103218,The Lost Bus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tt6263850,Deadpool & Wolverine,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt15498808,Samuel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tt31590095,For Worse,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
tt13287846,Napoleon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tt29768334,Train Dreams,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
