Const,Title,sex_nudity,violence_gore,profanity,alcohol_drugs,intensity
tt27847051,The Secret Agent,Moderate,Severe,Moderate,Moderate,Severe
tt2935510,Ad Astra,None,Moderate,Mild,None,Moderate
tt30343021,Song Sung Blue,Mild,Mild,Moderate,Mild,Mild
tt14205554,KPop Demon Hunters,None,Mild,None,None,Mild
tt21103218,The Lost Bus,None,Mild,Moderate,None,Severe
tt6263850,Deadpool & Wolverine,Mild,Severe,Severe,Moderate,Moderate
tt15498808,Samuel,None,Mild,Mild,Mild,Mild
tt31590095,For Worse,Moderate,None,Moderate,Severe,Moderate
tt13287846,Napoleon,Moderate,Severe,Mild,Mild,Severe
tt29768334,Train Dreams,Mild,Mild,Mild,Mild,Mild
tt4154796,Avengers: Endgame,None,Moderate,Mild,Mild,Moderate
tt8946378,Knives Out,None,Mild,Moderate,Mild,Mild
tt0096874,Back to the Future Part II,Mild,Mild,Moderate,Mild,Moderate
tt8398600,After Life,Mild,Mild,Severe,Moderate,Mild
tt14142060,Rental Family,Mild,Mild,Mild,Mild,None
tt14905854,Hamnet,Mild,Mild,Mild,Mild,Moderate
tt0082971,Raiders of the Lost Ark,Mild,Moderate,Mild,Mild,Moderate
tt16277242,Society of the Snow,Mild,Severe,Mild,Mild,Severe
tt24950660,Eternity,Mild,Mild,Mild,Mild,Mild
tt0877057,Death Note,Mild,Moderate,Mild,Mild,Severe
tt13833688,The Whale,Moderate,Mild,Moderate,Moderate,Moderate
tt39049192,Even if This Love Disappears from the World Tonight,Mild,None,None,None,Moderate
tt27543632,The Housemaid,Moderate,Severe,Moderate,Mild,Moderate
tt32916440,Marty Supreme,Moderate,Moderate,Severe,Mild,Moderate
tt14107334,The Running Man,Mild,Severe,Moderate,Mild,Moderate
tt2545428,Meru,None,Mild,Moderate,Mild,Moderate
tt12908150,The Life of Chuck,None,Mild,Moderate,Mild,Mild
tt17526714,The Substance,Severe,Severe,Moderate,Moderate,Severe
tt9214772,Monkey Man,Moderate,Severe,Severe,Moderate,Severe
tt12300742,Bugonia,Mild,Severe,Severe,Mild,Severe
tt6604188,Tron: Ares,None,Mild,Mild,Mild,Mild
tt0416449,300.0,Severe,Severe,Mild,None,Severe
tt0371746,Iron Man,Mild,Moderate,Mild,Mild,Moderate
tt39307872,One Last Adventure: The Making of Stranger Things 5,None,Mild,Mild,Mild,Moderate
tt22740896,People We Meet on Vacation,Mild,None,Mild,Mild,None
tt14152140,Darlings,None,Moderate,Mild,Severe,Moderate
tt30144839,One Battle After Another,Moderate,Moderate,Severe,Moderate,Moderate
tt0099487,Edward Scissorhands,Mild,Moderate,Mild,Mild,Moderate
tt0038650,It's a Wonderful Life,None,Mild,None,Mild,Mild
tt14364480,Wake Up Dead Man,Mild,Moderate,Moderate,Moderate,Moderate
tt15732324,OMG 2,Moderate,Mild,Mild,None,Mild
tt2283748,OMG: Oh My God!,None,None,None,None,None
tt6967980,Seeking True Love,None,None,Mild,Mild,None
tt4535650,Dilwale,None,Moderate,Mild,Mild,Mild
tt10895576,Mimi,None,None,None,Mild,None
tt20221436,Emilia Pérez,Mild,Moderate,Moderate,Mild,Moderate
tt31998881,Oh. What. Fun.,Mild,None,Mild,Mild,None
tt2181931,English Vinglish,None,None,None,None,None
tt23849204,12th Fail,None,None,None,Mild,None
tt9218128,Gladiator II,Mild,Severe,Mild,Mild,Moderate
tt0172495,Gladiator,Mild,Severe,Mild,None,Severe
tt2806788,Fukrey,None,None,Mild,Mild,None
tt6225520,The Man Who Invented Christmas,None,Mild,Mild,Mild,Mild
tt11934846,Badhaai Do,None,None,None,Mild,None
tt21626284,Lost Ladies,None,Mild,None,Mild,Mild
tt24852126,Jingle Bell Heist,Mild,None,Moderate,Mild,None
tt0072777,Chhoti Si Baat,None,None,None,None,Mild
tt31973693,The Roses,Mild,Mild,Severe,Moderate,Mild
tt35600079,A Very Jonas Christmas Movie,Mild,None,Mild,Mild,Mild
tt38608937,One Shot with Ed Sheeran,None,None,None,Mild,None
tt29567915,Nuremberg,None,Severe,Mild,Mild,Severe
tt5950044,Superman,Mild,Moderate,Mild,Mild,Moderate
tt34992378,A Merry Little Ex-Mas,Mild,None,None,None,None
tt1312221,Frankenstein,Mild,Severe,Mild,Mild,Severe
tt7725596,Badhaai Ho,Mild,None,None,Mild,None
tt8332922,A Quiet Place Part II,None,Moderate,Mild,None,Severe
tt6644200,A Quiet Place,None,Moderate,None,None,Severe
tt7130300,The Woman in Cabin 10,None,Mild,Mild,Mild,Mild
tt27075958,Fountain of Youth,None,Mild,Mild,Mild,Mild
tt0083866,E.T. the Extra-Terrestrial,None,Mild,Mild,Mild,Moderate
tt3581932,And Then There Were None,Mild,Moderate,Moderate,Moderate,Moderate
tt35520290,The Baltimorons,None,None,Mild,Mild,None
tt37898320,aka Charlie Sheen,Moderate,Mild,Severe,Severe,None
tt2649356,Sharp Objects,Moderate,Severe,Moderate,Severe,Moderate
tt0209144,Memento,Mild,Moderate,Severe,Mild,Moderate
tt2350496,The Lunchbox,None,None,None,Mild,None
tt16431330,A Nice Indian Boy,Mild,None,Mild,Mild,None
tt0155267,The Thomas Crown Affair,Moderate,None,Mild,Mild,None
tt12001534,The Thursday Murder Club,Mild,Mild,Mild,Mild,Mild
tt6341832,Oxygen,None,Mild,Mild,None,Moderate
tt31956415,Freakier Friday,Mild,None,Mild,Mild,None
tt0120184,Sphere,None,Moderate,Mild,Mild,Moderate
tt0071315,Chinatown,Moderate,Moderate,Mild,Mild,Moderate
tt31806037,Adolescence,Mild,Mild,Severe,None,Moderate
tt30988739,Black Bag,Mild,Moderate,Moderate,Mild,Mild
tt31193180,Sinners,Moderate,Severe,Moderate,Mild,Severe
tt0899043,The Amateur,None,Moderate,Mild,Mild,Moderate
